# t x y
1.55000000 1.47462505 5.45837245
1.56000000 1.45877620 5.44456215
1.57000000 1.44317756 5.43070139
1.58000000 1.42782502 5.41679210
1.59000000 1.41271452 5.40283614
1.60000000 1.39784210 5.38883535
1.61000000 1.38320383 5.37479153
1.62000000 1.36879585 5.36070646
1.63000000 1.35461438 5.34658188
1.64000000 1.34065568 5.33241948
1.65000000 1.32691608 5.31822095
1.66000000 1.31339198 5.30398792
1.67000000 1.30007981 5.28972201
1.68000000 1.28697609 5.27542479
1.69000000 1.27407738 5.26109781
1.70000000 1.26138031 5.24674260
1.71000000 1.24888155 5.23236064
1.72000000 1.23657784 5.21795340
1.73000000 1.22446596 5.20352230
1.74000000 1.21254276 5.18906875
1.75000000 1.20080513 5.17459414
1.76000000 1.18925003 5.16009980
1.77000000 1.17787445 5.14558707
1.78000000 1.16667545 5.13105725
1.79000000 1.15565012 5.11651159
1.80000000 1.14479563 5.10195136
1.81000000 1.13410917 5.08737777
1.82000000 1.12358799 5.07279202
1.83000000 1.11322939 5.05819528
1.84000000 1.10303071 5.04358870
1.85000000 1.09298933 5.02897340
1.86000000 1.08310271 5.01435050
1.87000000 1.07336831 4.99972107
1.88000000 1.06378366 4.98508617
1.89000000 1.05434632 4.97044683
1.90000000 1.04505391 4.95580407
1.91000000 1.03590407 4.94115889
1.92000000 1.02689450 4.92651225
1.93000000 1.01802293 4.91186512
1.94000000 1.00928714 4.89721842
1.95000000 1.00068493 4.88257308
1.96000000 0.99221416 4.86792997
1.97000000 0.98387271 4.85328998
1.98000000 0.97565852 4.83865397
1.99000000 0.96756954 4.82402277
2.00000000 0.95960377 4.80939721
2.01000000 0.95175924 4.79477809
2.02000000 0.94403404 4.78016620
2.03000000 0.93642625 4.76556230
2.04000000 0.92893402 4.75096714
2.05000000 0.92155551 4.73638147
2.06000000 0.91428894 4.72180601
2.07000000 0.90713253 4.70724145
2.08000000 0.90008455 4.69268848
2.09000000 0.89314329 4.67814779
2.10000000 0.88630710 4.66362003
2.11000000 0.87957431 4.64910584
2.12000000 0.87294332 4.63460586
2.13000000 0.86641255 4.62012070
2.14000000 0.85998044 4.60565095
2.15000000 0.85364546 4.59119722
2.16000000 0.84740611 4.57676008
2.17000000 0.84126091 4.56234008
2.18000000 0.83520842 4.54793777
2.19000000 0.82924722 4.53355370
2.20000000 0.82337591 4.51918839
2.21000000 0.81759311 4.50484235
2.22000000 0.81189749 4.49051607
2.23000000 0.80628771 4.47621006
2.24000000 0.80076248 4.46192477
2.25000000 0.79532053 4.44766069
2.26000000 0.78996059 4.43341827
2.27000000 0.78468145 4.41919795
2.28000000 0.77948188 4.40500016
2.29000000 0.77436071 4.39082532
2.30000000 0.76931677 4.37667385
2.31000000 0.76434892 4.36254616
2.32000000 0.75945602 4.34844263
2.33000000 0.75463698 4.33436365
2.34000000 0.74989071 4.32030958
2.35000000 0.74521614 4.30628081
2.36000000 0.74061224 4.29227768
2.37000000 0.73607796 4.27830053
2.38000000 0.73161232 4.26434971
2.39000000 0.72721430 4.25042554
2.40000000 0.72288295 4.23652835
2.41000000 0.71861730 4.22265844
2.42000000 0.71441641 4.20881613
2.43000000 0.71027938 4.19500171
2.44000000 0.70620528 4.18121546
2.45000000 0.70219323 4.16745767
2.46000000 0.69824235 4.15372861
2.47000000 0.69435180 4.14002855
2.48000000 0.69052072 4.12635774
2.49000000 0.68674830 4.11271644
2.50000000 0.68303371 4.09910489
2.51000000 0.67937616 4.08552333
2.52000000 0.67577487 4.07197199
2.53000000 0.67222906 4.05845110
2.54000000 0.66873799 4.04496087
2.55000000 0.66530090 4.03150152
2.56000000 0.66191708 4.01807325
2.57000000 0.65858579 4.00467626
2.58000000 0.65530635 3.99131075
2.59000000 0.65207805 3.97797690
2.60000000 0.64890023 3.96467490
2.61000000 0.64577221 3.95140492
2.62000000 0.64269334 3.93816713
2.63000000 0.63966298 3.92496170
2.64000000 0.63668050 3.91178880
2.65000000 0.63374527 3.89864856
2.66000000 0.63085669 3.88554116
2.67000000 0.62801416 3.87246672
2.68000000 0.62521710 3.85942540
2.69000000 0.62246492 3.84641732
2.70000000 0.61975706 3.83344262
2.71000000 0.61709297 3.82050143
2.72000000 0.61447209 3.80759386
2.73000000 0.61189389 3.79472003
2.74000000 0.60935785 3.78188007
2.75000000 0.60686345 3.76907407
2.76000000 0.60441017 3.75630214
2.77000000 0.60199753 3.74356438
2.78000000 0.59962503 3.73086088
2.79000000 0.59729218 3.71819175
2.80000000 0.59499852 3.70555707
2.81000000 0.59274359 3.69295693
2.82000000 0.59052692 3.68039140
2.83000000 0.58834807 3.66786056
2.84000000 0.58620660 3.65536449
2.85000000 0.58410208 3.64290327
2.86000000 0.58203409 3.63047695
2.87000000 0.58000220 3.61808559
2.88000000 0.57800602 3.60572928
2.89000000 0.57604514 3.59340805
2.90000000 0.57411916 3.58112196
2.91000000 0.57222771 3.56887107
2.92000000 0.57037039 3.55665542
2.93000000 0.56854684 3.54447506
